area,area_name,bhk,bathroom,furnishing,parking,status,transaction,type,per_sqft,price,price_per_bhk,log_price,has_parking,is_furnished,area_bhk_ratio,price_per_sqft_per_bhk,bathroom_per_bhk,avg_area_price
750.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,new_property,apartment,6667.0,5000000.0,2500000.0,15.424948670398354,1,1,375.0,3333.5,1.0,8893098.591549296
950.0,rohini,2.0,2.0,Furnished,1,ready_to_move,resale,apartment,6667.0,15500000.0,7750000.0,16.5563506464056,1,1,475.0,3333.5,1.0,8893098.591549296
600.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,resale,house,6667.0,4200000.0,2100000.0,15.250595321348806,1,1,300.0,3333.5,1.0,8893098.591549296
650.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,new_property,house,6667.0,6200000.0,3100000.0,15.64006001130563,1,1,325.0,3333.5,1.0,8893098.591549296
1300.0,rohini,4.0,3.0,Semi-Furnished,1,ready_to_move,new_property,house,6667.0,15500000.0,3875000.0,16.5563506464056,1,1,325.0,1666.75,0.75,8893098.591549296
1350.0,rohini,4.0,3.0,Semi-Furnished,1,ready_to_move,resale,house,6667.0,10000000.0,2500000.0,16.118095750958314,1,1,337.5,1666.75,0.75,8893098.591549296
650.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,new_property,apartment,6154.0,4000000.0,2000000.0,15.201805169084134,1,1,325.0,3077.0,1.0,8893098.591549296
985.0,rohini,3.0,3.0,Unfurnished,1,almost_ready,new_property,house,6154.0,6800000.0,2266666.6666666665,15.732433317205148,1,0,328.3333333333333,2051.3333333333335,1.0,8893098.591549296
1300.0,rohini,4.0,4.0,Semi-Furnished,1,ready_to_move,new_property,house,6154.0,15000000.0,3750000.0,16.52356082573315,1,1,325.0,1538.5,1.0,8893098.591549296
1100.0,rohini,3.0,2.0,Semi-Furnished,1,ready_to_move,new_property,house,6154.0,6200000.0,2066666.6666666667,15.64006001130563,1,1,366.6666666666667,2051.3333333333335,0.6666666666666666,8893098.591549296
870.0,rohini,3.0,2.0,Semi-Furnished,1,ready_to_move,new_property,house,6154.0,7700000.0,2566666.6666666665,15.856731016694035,1,1,290.0,2051.3333333333335,0.6666666666666666,8893098.591549296
630.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,new_property,house,6154.0,5500000.0,2750000.0,15.520258832020865,1,1,315.0,3077.0,1.0,8893098.591549296
660.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,resale,house,6154.0,5000000.0,2500000.0,15.424948670398354,1,1,330.0,3077.0,1.0,8893098.591549296
344.4448,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,resale,house,6154.0,3310000.0,1655000.0,15.012459049468003,1,1,172.2224,3077.0,1.0,8893098.591549296
660.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,new_property,house,6154.0,4700000.0,2350000.0,15.363073279446223,1,1,330.0,3077.0,1.0,8893098.591549296
550.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,new_property,house,6154.0,4500000.0,2250000.0,15.319588176962746,1,1,275.0,3077.0,1.0,8893098.591549296
1100.0,rohini,4.0,3.0,Semi-Furnished,1,ready_to_move,new_property,house,6154.0,17000000.0,4250000.0,16.648723960844016,1,1,275.0,1538.5,0.75,8893098.591549296
1150.0,rohini,3.0,3.0,Semi-Furnished,1,ready_to_move,resale,apartment,6154.0,25000000.0,8333333.333333333,17.034386422832473,1,1,383.3333333333333,2051.3333333333335,1.0,8893098.591549296
650.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,resale,house,6154.0,6000000.0,3000000.0,15.607270193858982,1,1,325.0,3077.0,1.0,8893098.591549296
850.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,resale,apartment,6154.0,11000000.0,5500000.0,16.213405921671733,1,1,425.0,3077.0,1.0,8893098.591549296
900.0,rohini,3.0,2.0,Semi-Furnished,5,ready_to_move,resale,house,6154.0,4500000.0,1500000.0,15.319588176962746,1,1,300.0,2051.3333333333335,0.6666666666666666,8893098.591549296
430.556,rohini,1.0,1.0,Furnished,2,ready_to_move,resale,apartment,6154.0,5300000.0,5300000.0,15.483217567201578,1,1,430.556,6154.0,1.0,8893098.591549296
900.0,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,resale,apartment,6154.0,10500000.0,5250000.0,16.166885910365842,1,1,450.0,3077.0,1.0,8893098.591549296
914.9315,rohini,2.0,2.0,Semi-Furnished,1,ready_to_move,resale,house,6154.0,12000000.0,6000000.0,16.300417291085605,1,1,457.46575,3077.0,1.0,8893098.591549296
1100.0,rohini,3.0,3.0,Furnished,1,ready_to_move,new_property,house,6364.0,7000000.0,2333333.3333333335,15.76142084987672,1,1,366.6666666666667,2121.3333333333335,1.0,8893098.591549296
800.0,rohini,3.0,2.0,Semi-Furnished,1,ready_to_move,resale,house,8750.0,7000000.0,2333333.3333333335,15.76142084987672,1,1,266.6666666666667,2916.6666666666665,0.6666666666666666,8893098.591549296
500.0,rohini,1.0,1.0,Semi-Furnished,1,ready_to_move,resale,apartment,8750.0,3400000.0,3400000.0,15.039286283703994,1,1,500.0,8750.0,1.0,8893098.591549296
28.0,rohini,2.0,2.0,Furnished,1,ready_to_move,new_property,apartment,8750.0,5000000.0,2500000.0,15.424948670398354,1,1,14.0,4375.0,1.0,8893098.591549296
2160.0,rohini,4.0,4.0,Furnished,1,ready_to_move,new_property,house,9722.0,21000000.0,5250000.0,16.860033043306743,1,1,540.0,2430.5,1.0,8893098.591549296
900.0,lajpat nagar,2.0,2.0,Semi-Furnished,2,ready_to_move,new_property,house,14444.0,13000000.0,6500000.0,16.380459992348886,1,1,450.0,7222.0,1.0,30698214.285714287
1000.0,lajpat nagar,3.0,3.0,Semi-Furnished,1,ready_to_move,new_property,house,22000.0,22000000.0,7333333.333333333,16.906553056777135,1,1,333.3333333333333,7333.333333333333,1.0,30698214.285714287
900.0,lajpat nagar,2.0,2.0,Semi-Furnished,1,ready_to_move,new_property,house,22000.0,15800000.0,7900000.0,16.575520561288332,1,1,450.0,11000.0,1.0,30698214.285714287
2925.0,lajpat nagar,4.0,4.0,Unfurnished,2,ready_to_move,new_property,house,22000.0,57500000.0,14375000.0,17.867295523158884,1,0,731.25,5500.0,1.0,30698214.285714287
900.0,lajpat nagar,2.0,2.0,Unfurnished,2,ready_to_move,resale,house,22000.0,10000000.0,5000000.0,16.118095750958314,1,0,450.0,11000.0,1.0,30698214.285714287
1600.0,lajpat nagar,3.0,3.0,Unfurnished,2,ready_to_move,new_property,house,22000.0,30000000.0,10000000.0,17.216707972959764,1,0,533.3333333333334,7333.333333333333,1.0,30698214.285714287
1143.0,lajpat nagar,3.0,3.0,Unfurnished,2,ready_to_move,new_property,house,22000.0,22000000.0,7333333.333333333,16.906553056777135,1,0,381.0,7333.333333333333,1.0,30698214.285714287
1150.0,lajpat nagar,3.0,3.0,Semi-Furnished,2,ready_to_move,new_property,house,22000.0,24000000.0,8000000.0,16.993564429978885,1,1,383.3333333333333,7333.333333333333,1.0,30698214.285714287
1500.0,lajpat nagar,3.0,3.0,Semi-Furnished,1,ready_to_move,resale,house,22000.0,31500000.0,10500000.0,17.265498135541893,1,1,500.0,7333.333333333333,1.0,30698214.285714287
850.0,lajpat nagar,2.0,2.0,Semi-Furnished,1,ready_to_move,resale,house,22000.0,14600000.0,7300000.0,16.496532155171714,1,1,425.0,11000.0,1.0,30698214.285714287
8000.0,lajpat nagar,4.0,5.0,Semi-Furnished,1,ready_to_move,new_property,house,22000.0,240000000.0,60000000.0,19.29614948547293,1,1,2000.0,5500.0,1.25,30698214.285714287
890.0,lajpat nagar,2.0,2.0,Semi-Furnished,1,ready_to_move,resale,house,22000.0,8300000.0,4150000.0,15.931766193248746,1,1,445.0,11000.0,1.0,30698214.285714287
1100.0,lajpat nagar,3.0,3.0,Unfurnished,1,ready_to_move,new_property,house,22000.0,22500000.0,7500000.0,16.929025911619092,1,0,366.6666666666667,7333.333333333333,1.0,30698214.285714287
1500.0,lajpat nagar,3.0,3.0,Semi-Furnished,1,ready_to_move,resale,house,26666.0,40000000.0,13333333.333333334,17.50439003707821,1,1,500.0,8888.666666666666,1.0,30698214.285714287
2880.0,lajpat nagar,4.0,5.0,Unfurnished,1,ready_to_move,new_property,house,15972.0,46000000.0,11500000.0,17.6441519761925,1,0,720.0,3993.0,1.25,30698214.285714287
2700.0,lajpat nagar,4.0,4.0,Semi-Furnished,2,ready_to_move,resale,house,183333.0,55000000.0,13750000.0,17.822843761378564,1,1,675.0,45833.25,1.0,30698214.285714287
1400.0,lajpat nagar,3.0,3.0,Unfurnished,1,ready_to_move,resale,house,183333.0,24500000.0,8166666.666666667,17.01418371633128,1,0,466.6666666666667,61111.0,1.0,30698214.285714287
1800.0,lajpat nagar,3.0,3.0,Unfurnished,1,ready_to_move,resale,apartment,183333.0,24500000.0,8166666.666666667,17.01418371633128,1,0,600.0,61111.0,1.0,30698214.285714287
1400.0,lajpat nagar,3.0,3.0,Semi-Furnished,1,ready_to_move,new_property,house,183333.0,32500000.0,10833333.333333334,17.296750678069195,1,1,466.6666666666667,61111.0,1.0,30698214.285714287
1000.0,lajpat nagar,2.0,2.0,Furnished,1,ready_to_move,resale,apartment,20000.0,20000000.0,10000000.0,16.811242881518265,1,1,500.0,10000.0,1.0,30698214.285714287
8000.0,lajpat nagar,4.0,5.0,Semi-Furnished,1,ready_to_move,new_property,house,20000.0,240000000.0,60000000.0,19.29614948547293,1,1,2000.0,5000.0,1.25,30698214.285714287
